C,N,O,H,S,F,Cl,NumAtoms,AtomIsInRing,AtomIsAromatic,NumBonds,BondIsConjugated,BondIsAromatic,NumRotatableBonds,fr_C_O_noCOO,fr_Al_COO,fr_Ar_COO,fr_Al_OH,fr_Ar_OH,fr_NH2,fr_SH,fr_sulfide,fr_alkyl_halide,ExactMolWt,FpDensityMorgan3,MolLogP,MolMR,FractionCSP3,has_CN(C)C,has_CNC,has_C=NC,has_Thiophene,has_Pyrrole,has_Benzimidazole,has_Benzothiophene,has_Naphthalene,has_Biphenyl,has_Triphenylamine,dipole,homo,lumo,gap,energy,a,b,c,PCE,Jsc,Voc,FF,MolFormular,SMILES
53.0,2.0,4.0,44.0,0.0,0.0,0.0,103.0,49.0,48.0,111.0,61.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.3301078880008,0.8813559322033898,13.565799999999983,241.12999999999965,0.09433962264150944,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5379933054,-4.52107,-1.0958,3.42527,-66756.05342808146,0.005266379240684865,0.0005118439834168323,0.0004702319346078876,14.65352,19.9255,0.969192061296921,0.758792247497908,C53H44N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c4c(c3[H])C([H])([H])c3c([H])c(-c5c([H])c([H])c(N(c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c([H])c5[H])c([H])c([H])c3-4)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
46.0,3.0,4.0,41.0,0.0,0.0,0.0,94.0,42.0,42.0,100.0,54.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.309706792001,1.0377358490566038,11.69801999999999,215.41999999999973,0.10869565217391304,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4170976769,-4.50972,-1.0615,3.44822,-60945.71639994958,0.005483563199816142,0.0007649480603230428,0.0007097961559737659,13.6253333333333,19.3848333333333,0.936152371998422,0.750824650021253,C46H41N3O4,[H]c1c(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])nc(C([H])([H])[H])c(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c1[H]
53.0,2.0,5.0,42.0,0.0,0.0,0.0,102.0,49.0,48.0,110.0,64.0,48.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.3093724440008,0.85,13.205999999999984,241.75649999999968,0.07547169811320754,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1374228183,-4.61707,-2.19951,2.41756,-68767.9583284884,0.005044535489226615,0.0005218568895140785,0.0004772164577937184,15.3908,21.2718333333333,0.969526821720342,0.746270792949397,C53H42N2O5,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c4c(c3[H])C(=O)c3c([H])c(-c5c([H])c([H])c(N(c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c([H])c5[H])c([H])c([H])c3-4)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
45.0,3.0,4.0,39.0,0.0,0.0,0.0,91.0,42.0,42.0,97.0,54.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.2940567280009,0.9807692307692307,11.38959999999999,210.6829999999997,0.08888888888888889,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917446925,-4.49454,-1.20065,3.29389,-59877.46786127916,0.005562521926940445,0.0007848126173516924,0.0006985669264552955,12.89492,19.1323333333333,0.907475988213601,0.742703671653976,C45H39N3O4,[H]c1nc(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1-c1c([H])c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H]
47.0,2.0,4.0,42.0,0.0,0.0,0.0,95.0,42.0,42.0,101.0,54.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.3144578240009,0.9811320754716981,12.303019999999988,217.62499999999972,0.10638297872340426,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3116693296,-4.52402,-0.74921,3.77481,-60509.5196835632,0.005454101562098626,0.0007746835572523263,0.0006909752751632328,15.3956,21.0443333333333,0.953545517386469,0.767220180746633,C47H42N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c(C([H])([H])[H])c3[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
46.0,3.0,6.0,38.0,0.0,1.0,0.0,94.0,42.0,42.0,100.0,57.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.2744641560007,1.0535714285714286,12.04189999999999,219.50039999999973,0.08695652173913043,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6632532527,-4.66289,-2.06132,2.60157,-67696.80940298576,0.004814793602532403,0.0008023185350421129,0.0006969203151108197,15.64794,20.7918333333333,0.970325460042217,0.77561635841695,C46H38FN3O6,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([N+](=O)[O-])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c([H])c3F)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
50.0,2.0,4.0,42.0,0.0,0.0,0.0,98.0,46.0,46.0,105.0,59.0,47.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.3144578240009,0.8214285714285714,13.147799999999982,230.39399999999966,0.08,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.4321201203,-4.5376,-1.08163,3.45597,-63616.33214367876,0.005041032698023211,0.0007751335988652989,0.0006845088303060188,15.7872,21.6118333333333,0.954858225853392,0.765023202966358,C50H42N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c4c([H])c([H])c([H])c([H])c34)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
43.0,3.0,4.0,37.0,1.0,0.0,0.0,88.0,41.0,41.0,94.0,53.0,41.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.2504776640008,1.0392156862745099,11.45109999999999,208.55999999999972,0.09302325581395349,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6234971329,-4.44453,-1.44365,3.00088,-68604.28689081498,0.005272704311531022,0.000860710843277529,0.0007513166435091196,12.6698333333333,19.712,0.892852531803385,0.719880611676578,C43H37N3O4S,[H]c1nc(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])sc1-c1c([H])c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H]
47.0,2.0,5.0,42.0,0.0,0.0,0.0,96.0,42.0,42.0,102.0,55.0,42.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.3093724440009,0.9629629629629629,12.00319999999999,219.4399999999997,0.10638297872340426,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0246555431,-4.43817,-0.83024,3.607930000000001,-62553.65757196079,0.00515229203756674,0.0007867366655078547,0.0006912989489401584,14.9758,19.8938333333333,1.00117905488731,0.751899508434698,C47H42N2O5,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c(OC([H])([H])[H])c3[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
46.0,2.0,4.0,40.0,0.0,0.0,0.0,92.0,42.0,42.0,98.0,54.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.2988077600008,0.6538461538461539,11.99459999999999,212.8879999999997,0.08695652173913043,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0265187498,-4.50561,-0.87434,3.63127,-59441.35759941185,0.005590591271901178,0.0007769806597505723,0.0006897413722923391,12.9106266666667,18.8638333333333,0.908114354031057,0.753662370325359,C46H40N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
46.0,3.0,4.0,41.0,0.0,0.0,0.0,94.0,42.0,42.0,100.0,54.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.309706792001,0.9056603773584906,11.69801999999999,215.41999999999973,0.10869565217391304,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4020978721,-4.65273,-0.68886,3.96387,-60945.40436284991,0.004895839225216031,0.0009495210820853127,0.0008160266431697171,17.18667999999999,22.045,0.9668951871498238,0.8063108228707,C46H41N3O4,[H]c1nc([H])c(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c(C([H])([H])[H])c1-c1c([H])c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H]
45.0,3.0,6.0,39.0,1.0,0.0,0.0,94.0,41.0,41.0,100.0,56.0,41.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.2559569680006,1.1454545454545455,11.237699999999991,219.8994999999997,0.1111111111111111,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1148097511,-4.53041,-1.55219,2.97822,-74797.33361068567,0.00428294485503937,0.000863781771355851,0.0007364562852549144,14.8729333333333,21.0616666666667,0.925053650251033,0.763373315982562,C45H39N3O6S,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3nc(C(=O)OC([H])([H])[H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])s3)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
65.0,2.0,4.0,50.0,0.0,0.0,0.0,121.0,61.0,60.0,132.0,74.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.377058080001,0.8732394366197183,16.33809999999998,289.1859999999999,0.07692307692307693,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.1391689501,-4.51573,-1.16597,3.34976,-79281.10684879881,0.003950219485381008,0.0005039303989404071,0.0004630307695266274,17.47297999999999,22.7545,0.9672753981453316,0.7938702750334682,C65H50N2O4,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c([H])c1C21c2c([H])c(-c3c([H])c([H])c(N(c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])c([H])c3[H])c([H])c([H])c2-c2c([H])c([H])c(-c3c([H])c([H])c(N(c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])c([H])c3[H])c([H])c21
52.0,2.0,4.0,44.0,0.0,0.0,0.0,102.0,48.0,48.0,109.0,61.0,48.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.3301078880008,0.5862068965517241,13.661599999999984,238.32399999999961,0.07692307692307693,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0082936445,-4.57035,-1.05537,3.51498,-65720.21353198703,0.005482342135274793,0.0004904640993628601,0.0004549709607564838,17.68941999999999,22.93216666666667,0.9657705232837248,0.7987199976616989,C52H44N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(-c5c([H])c([H])c(N(c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c([H])c5[H])c([H])c4[H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
52.0,3.0,4.0,43.0,0.0,0.0,0.0,102.0,49.0,49.0,110.0,63.0,51.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.3253568560009,0.8813559322033898,13.62909999999998,242.25069999999965,0.07692307692307693,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.7040385078,-4.50919,-1.03208,3.47711,-67192.51592327251,0.005206990846571163,0.0005186107819128695,0.0004755119965724694,15.748086666666651,22.340666666666667,0.8960757258048507,0.7866597953037301,C52H43N3O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c4c5c([H])c([H])c(-c6c([H])c([H])c(N(c7c([H])c([H])c(OC([H])([H])[H])c([H])c7[H])c7c([H])c([H])c(OC([H])([H])[H])c([H])c7[H])c([H])c6[H])c([H])c5n([H])c4c3[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
50.0,2.0,4.0,48.0,0.0,0.0,0.0,104.0,42.0,42.0,110.0,54.0,42.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.361408016001,0.7321428571428571,13.228279999999986,231.83599999999961,0.16,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.011759865,-4.57714,-0.47627,4.10087,-63713.9017948048,0.005158280081068061,0.0007336145954714571,0.0007210003808247029,16.120666666666654,22.3135,0.9104335348311724,0.7935367686949607,C50H48N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c(C([H])([H])[H])c(C([H])([H])[H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c(C([H])([H])[H])c3C([H])([H])[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
46.0,2.0,4.0,38.0,0.0,2.0,0.0,92.0,42.0,42.0,98.0,54.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.2799641360008,0.8148148148148148,12.272799999999988,212.80399999999975,0.08695652173913043,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1316508593,-4.58349,-1.24082,3.34267,-64836.16407534359,0.004857946242733597,0.0008167669749328432,0.0007075719418090534,15.04413333333332,20.787333333333333,0.931378875714626,0.777037556472657,C46H38F2N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c(F)c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c([H])c3F)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
52.0,2.0,4.0,36.0,0.0,8.0,0.0,102.0,48.0,48.0,109.0,61.0,48.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.2547333920006,0.6666666666666666,14.774399999999982,237.98799999999977,0.07692307692307693,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0047363459,-4.80147,-1.51241,3.28906,-87298.47927529133,0.004496213014334319,0.0004754306860499187,0.0004733970775505358,16.73783999999999,21.724,0.9662229822775712,0.7974110594022649,C52H36F8N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c(F)c(F)c(-c4c(F)c(F)c(-c5c([H])c([H])c(N(c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c([H])c5[H])c(F)c4F)c(F)c3F)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
48.0,2.0,4.0,40.0,2.0,0.0,0.0,96.0,46.0,46.0,103.0,59.0,46.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.2429497600008,0.8035714285714286,13.784599999999982,234.0779999999997,0.08333333333333333,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200521865,-4.33197,-1.5805,2.75147,-83173.42059309916,0.005474067579789371,0.0005397060020856637,0.0004958030362251916,16.942799999999988,22.5485,0.9388687980304742,0.8003180680046688,C48H40N2O4S2,[H]c1c(-c2sc(-c3c([H])c([H])c(N(c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])c4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])c([H])c3[H])c([H])c2[H])sc(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c1[H]
54.0,2.0,4.0,46.0,0.0,0.0,0.0,106.0,48.0,48.0,113.0,63.0,48.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.3457579520009,0.7333333333333333,14.164999999999981,248.25799999999958,0.07407407407407407,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2196257642,-4.54512,-1.52348,3.02164,-67823.6199784236,0.005450758627567505,0.0003953617496888852,0.000370895674448547,17.993219999999987,23.188166666666667,0.98804155954776,0.7853572627051948,C54H46N2O4,[H]/C(=C(\[H])c1c([H])c([H])c(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c([H])c1[H])c1c([H])c([H])c(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c([H])c1[H]
46.0,4.0,4.0,38.0,1.0,0.0,0.0,93.0,45.0,45.0,100.0,58.0,46.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.2613766960008,0.8909090909090909,11.99929999999999,223.8609999999997,0.08695652173913043,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2491290203,-4.46358,-2.24233,2.22125,-73214.80482546434,0.004844623436737569,0.0007861941146765462,0.0006915882218462091,14.327466666666655,20.187,0.9081685784567416,0.7815039041330136,C46H38N4O4S,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c4nsnc34)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
44.0,4.0,4.0,38.0,0.0,0.0,0.0,90.0,42.0,42.0,96.0,54.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.2893056960008,0.9230769230769231,10.78459999999999,208.47799999999972,0.09090909090909091,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9429656001,-4.53967,-1.34708,3.19259,-60313.66038120722,0.005318892099707271,0.000796729893604435,0.0007198319136011075,16.58104,22.1353333333333,0.964956412061777,0.776279297767946,C44H38N4O4,[H]c1nc(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])nc([H])c1-c1c([H])c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H]
